id owner collateral collateral-token collateral-type created-at-block-height debt is-liquidated leftover-collateral updated-at-block-height
1 SPWKDKPZ3QDPQGDADWJ3EWPAP14CB1N1HDQ897W5 30000000 STX STX-A 34307 2550979 False 0 88988
2 SP8R8AT0HS12MRKHMZ22J05DMTBDHRW9XJBKE5DG 1438425 STX STX-A 34314 80808 False 0 63851
3 SP8R8AT0HS12MRKHMZ22J05DMTBDHRW9XJBKE5DG 4000000 STX STX-A 34315 600000 False 0 63821
4 SP8R8AT0HS12MRKHMZ22J05DMTBDHRW9XJBKE5DG 4000000 STX STX-A 34316 900 False 0 63829
5 SP8R8AT0HS12MRKHMZ22J05DMTBDHRW9XJBKE5DG 4000000 STX STX-A 34317 90 False 0 63832
6 SP8R8AT0HS12MRKHMZ22J05DMTBDHRW9XJBKE5DG 4000000 STX STX-A 34318 9000 False 0 63855
7 SP22ZAQG6E440QBQRP2A25D68B4N4GYQM7CT0RBK2 0 STX STX-A 34319 40000000 True 4173221 63740
8 SP8R8AT0HS12MRKHMZ22J05DMTBDHRW9XJBKE5DG 4128770 STX STX-A 34319 366197 False 0 63831
9 SP8R8AT0HS12MRKHMZ22J05DMTBDHRW9XJBKE5DG 4000000 STX STX-A 34320 500000 False 0 63931
10 SP8R8AT0HS12MRKHMZ22J05DMTBDHRW9XJBKE5DG 4000000 STX STX-B 34322 514804 False 0 63931
11 SP8R8AT0HS12MRKHMZ22J05DMTBDHRW9XJBKE5DG 4000000 STX STX-A 34323 8000 False 0 64062
12 SP8R8AT0HS12MRKHMZ22J05DMTBDHRW9XJBKE5DG 4000000 STX STX-A 34324 40000 False 0 63931
13 SP3WT85B2PJWBQG70B8NTCA9DNZ6TS07YP5497WWW 5074067 STX STX-A 34332 14373 False 0 63804
14 SP18P831TBGKSGMJEMJM0V29CMKJP650ZT21YJ3XX 0 xSTX STX-A 34346 1000000 True 468552 82836
19 SP3FBR2AGK5H9QBDH3EEN6DF8EK8JY7RX8QJ5SVTE 0 STX STX-B 34484 1000000 True 26738 59626
23 SP3DAT7GJ2CZW3V1DGC8PAKP3SW4KSFXTWM3FB1HC 10000000 STX STX-A 34495 13436 False 0 43456
24 SP159A7QXQV1TXC7S9WT9MB7F23WKP8C5MN6VNR98 29434867002 STX STX-A 34495 11681076023 False 0 135741
26 SP33E9NRZQ3YCJM0A3Z6WA91JQKW62T5SPYHYTJHC 0 xSTX STX-A 34495 190501814 True 0 64700
29 SP3DVRHY4JSHEHQFRBCDDE3M30QGHW4BJMPF331H9 0 xSTX STX-A 34504 571000000 True 324628014 62994
31 SPKQYX7V64SGYPZGBC7MV98MX4D39SCF45PQN9MD 0 xSTX STX-A 34507 15000000 True 0 70872
33 SP43A5P838QWPYBNTY0M37RJ91CF4TJMFM5SSWXQ 0 STX STX-A 34510 1000000 True 479331 63740
34 SP33E9NRZQ3YCJM0A3Z6WA91JQKW62T5SPYHYTJHC 0 xSTX STX-A 34512 152501698 True 0 64700
39 SPJT8G4DA24ZDF35WMY5FZEQ9YJNK38DBN2D48QH 0 xSTX STX-A 34529 69672579777 True 24523470345 62994
41 SP2RHCM6K2Z3D40Z4HR5XQ4N86W8GRT4FXDM3WX16 0 xSTX STX-A 34542 1972464185 True 0 59709
42 SP2RHCM6K2Z3D40Z4HR5XQ4N86W8GRT4FXDM3WX16 0 xSTX STX-A 34564 1800000000 True 1075248827 62994
45 SP1FS9ERDTXYA3NHN0KRE8XH3Y01DDTRSBK31Z1ZZ 0 STX STX-A 34574 3986000000 True 2185406761 58270
50 SPMHBW0ME2NPEBGGQ3H56Q159FNFR79DD6WNVJMG 140000000 STX STX-A 34601 0 False 0 48591
51 SP60SD99KEWG7DMJYHGWM9K14D563ZZSDG6QV3SC 0 xSTX STX-A 34602 60000000 True 0 62994
52 SPN2DQA1B5DD54BFZ86WP6Q5FJDDDH4D18PSRJPJ 0 xSTX STX-B 34602 20257580000 True 0 59374
53 SP3AWE771HSHKVAWXJKEFRFP79SB8FK3H8E6YMSRZ 13000000 STX STX-A 34602 0 False 0 54114
64 SP1T1NBZ3DJ2QBFYN411DPV8T67WRFB2WBBE55W2B 0 STX STX-A 34606 421000000 True 0 59626
72 SP3FYANEPQWPMB6AC6QF65Y78X2HRAE1YKTFA4P0A 0 STX STX-A 34609 4713800 True 0 59626
73 SP1PREJ153KGPEBNJJZWPGARVYMKA5X7CVW8JHT5M 5030945963 STX STX-A 34609 1809843922 False 0 135849
82 SPHTME3Z11YK1AGKC0MBNNXKCPRC9WR52MDDV9GK 20209416 STX STX-A 34610 0 False 0 43297
83 SP2ZWHRDG84WAZ9XHZGX36VQH4V93YB3T5YEP1RHK 0 xSTX STX-A 34610 200000000 True 0 62996
85 SP282NE79YNR434627WPP4XPHCJQS2D0R3ADSWKTR 0 xSTX STX-A 34610 59000000 True 0 62996
86 SP3AATYA22DJHS5Y2TRQE00KDKSB3M3RANW60Q1MT 0 STX STX-A 34610 5345000000 True 3048943761 50028
88 SP2E7W7F568R99DKATHCB5B5ZTG690RF0KAPR9BWX 200000000 STX STX-A 34611 0 False 0 49741
93 SP3WDN9Y2T2JK43X6B04NJ472AY5EYG63WF7B0N2E 0 STX STX-A 34612 46144109 True 0 59619
96 SP3WHY3FT5JG0A9NV28AZH0TF38AHHZ1JHR9VJKCH 11100000000 STX STX-A 34612 0 False 0 43133
104 SP6K0M8D7MAFQ7RTRH31NDZXXFTA85Y8VGYQTHBR 0 STX STX-A 34613 637688 True 0 67805
105 SP3AEM26JN09V9PKBWN23XF6T7KVGQQSRTSXPFQ3K 46064892155 STX STX-A 34614 19199630024 False 0 134202
106 SP3H6Z8KZ2EHTCNW5B43K3RSXCYWTPNKPTX4VJJZE 1800779 STX STX-A 34614 2151 False 0 57086
108 SP6K0M8D7MAFQ7RTRH31NDZXXFTA85Y8VGYQTHBR 0 xSTX STX-B 34614 45000000000 True 13452152913 55945
109 SP34J4X76MEBK9KG45ZFG8ZQSDENY7PSV4A5E91EW 0 xSTX STX-A 34614 55000000 True 0 62997
110 SPGATZ86JD8WNE6CR5H157ERWD3QG10KMY9SDHYH 0 xSTX STX-A 34614 567902578 True 0 59619
115 SP19CFFFPNJXXPEBPDJXKJJ2TQT11WEK1M5GJN5W7 0 STX STX-A 34615 33699600 True 1542195 64071
116 SPR11YBZY0MM5AZFTQQEX1X1K9EN9TZZF0G21YBJ 0 STX STX-A 34615 140000000 True 0 65781
124 SP1P2XGDSVYHXZ6GQAM4N7CX89GTZKBRP2BQF0G15 560440093622 STX STX-A 34616 396106150522 False 0 135771
125 SP39QYDCS647Q0CZCHFRN9P2WFNY2PQBSAZVZ1JG0 0 STX STX-B 34616 2672112 True 400730 59749
137 SP2CNWQ85KJAP57RSDANZM3BK2YWQN1FAH21RZS2S 205692456 STX STX-A 34618 0 False 0 55852
139 SPVTH2NKQT2HY9DXMXBYG25BVBKY83S64NBY7CQR 0 xSTX STX-A 34618 88647706 True 95269614 82836
142 SP2CGXF77ZRMA12GCJ3J5PC7XVDNERM02A0HR9M10 0 xSTX STX-B 34618 30000000 True 0 62997
143 SP1CXDQR133G73DD3QPDMK5MQWHRC6Z0YMN80HR99 0 STX STX-A 34618 995496 True 224220 59749
144 SP2CNWQ85KJAP57RSDANZM3BK2YWQN1FAH21RZS2S 102846228 STX STX-A 34618 0 False 0 55815
146 SP1Y8PTDHGHTFQNM9T6P0XZ1EBHH6K6H152G85809 0 xSTX STX-A 34619 1155000000 True 0 62997
148 SP3JYTEYFKCY12WTY7TNRCQ392D1WF0YTPV71P0EM 5877268109 STX STX-A 34619 2305787874 False 0 132729
151 SP3RXKXCGNKJ81NH1XHCZNGD6FTTWW4W0MYVZN170 0 xSTX STX-A 34620 50000000 True 0 62997
163 SP3RGQB4KTSAFKB2BN7R247QVETSYXC65A1509QCK 0 xSTX STX-B 34621 3000000 True 0 64115
172 SP3JNQYXGCSMH5PKJGD9412RXMTW6N45YCY27GPQF 0 STX STX-A 34622 15704 True 0 59619
173 SP2AZY74SHWPHFB67VPA4C7W5M8WMPZMBVQBK06HE 0 STX STX-A 34622 400000000 True 0 59708
174 SPV9NSTB2SMP4AN77R74A7NWKH70PK5ZZJGXQPXZ 0 STX STX-A 34623 1360000000 True 0 59708
175 SP38EB8H418BD6C1N1HHQ16ZADNS5Z0ZMYMN3P6XY 206475435 STX STX-A 34623 6242891 False 0 96470
177 SP2372AN3AQ45BNNZ38FS65AKK6CEW8K2DHT7H9MD 0 xSTX STX-A 34623 184624520 True 45099641 64116
179 SP2Y4Y133J0FG8F1MD1886TA465204FX3AXX0PAD2 0 xSTX STX-A 34623 500000000 True 0 62997
182 SP3V29S20KP4BPZHBWYAXJWNBRAB66TPBDZ444995 0 xSTX STX-A 34623 359294642 True 12631713 64189
187 SP10H649C3N6RFQJY7E0RN6VZHHVX3EQDKXVW3SWA 0 xSTX STX-A 34624 29000000 True 0 62997
194 SPH7P46DMTTFNSHDD33N6G8GFE1MQB2R0QW176B1 0 xSTX STX-A 34625 5719249284 True 0 120628
196 SP390BGMSFNG6BAVA2FGP1E75GZMDJ3YZME96KEZ1 0 xSTX STX-A 34625 91227091 True 102705222 82836
198 SP37XTD0P498TFJ7KB54E9B1KJ4GHTWXQMED55H0D 0 STX STX-A 34626 694000000 True 0 59619
200 SP1PKK6KJPM826D0X6AMCJ63KEH2M456M4T22WAPQ 275000000 STX STX-A 34626 41621772 False 0 82803
201 SP3VBME5VPZJ16G7KFA2VFTNHD7924RNE4G4J46ZZ 1046169342 STX STX-A 34626 0 False 0 133887
204 SP35TFJ6RNGS7JZDMSGKDSMJJ2K99PJQWMQ4H5TYC 0 xSTX STX-A 34627 600000000 True 0 62998
205 SP1WMDK3WHQMTZA6KNAGYQF6GE9XGDJPR80Y0C4FJ 0 STX STX-A 34627 120000000 True 50576391 63736
206 SP1WKGN88TVKD2YW17HR0WZSE7PG67HVHE2G1TD15 0 xSTX STX-A 34627 5000000 True 0 62998
207 SP17PMFS0GRYNPC6CSMYDJ42FDNJVBS5FS4VXY4WH 10895153656 STX STX-A 34627 1318235660 False 0 135822
208 SP24B77W7NZ924CVA4W9YYPV5Y6WRJRMY5Q8H8QXA 167614872 STX STX-A 34627 40000000 False 0 131926
216 SP2T5YZ2YPPTRJFNP1KSSD7GN14SATEA89NANJ8N0 0 xSTX STX-A 34629 2890000000 True 1590203445 49842
218 SP12BEEDG31J0AH68DFDJJYZ36D002PKDZCP1DZQE 130553687377 STX STX-A 34629 140714493047 False 0 135736
